customerid,tenure_group,contract,paymentmethod,monthlycharges,total_revenue,churn_flag,risk_level,value_segment,lifecycle_stage
5650-VDUDS,0-1 year,Month-to-month,Mailed check,24.25,97,1,High Risk,Low Value,New (0-1y)
8095-WANWK,0-1 year,Month-to-month,Mailed check,45.25,452.5,0,Low Risk,Low Value,New (0-1y)
3030-ZKIWL,0-1 year,Month-to-month,Mailed check,20.05,20.05,0,Low Risk,Low Value,New (0-1y)
9565-FLVCG,4+ years,Two year,Mailed check,69.55,4520.75,0,Low Risk,High Value,Loyal (4y+)
8755-OGKNA,4+ years,Two year,Bank transfer (automatic),19.5,1111.5,0,Low Risk,Mid Value,Loyal (4y+)
2800-VEQXM,0-1 year,Month-to-month,Mailed check,74.75,224.25,0,Low Risk,Low Value,New (0-1y)
7538-GWHML,0-1 year,Month-to-month,Electronic check,69.65,139.3,1,High Risk,Low Value,New (0-1y)
5533-RJFTJ,4+ years,Month-to-month,Bank transfer (automatic),30.2,1479.8,0,Low Risk,Mid Value,Loyal (4y+)
3859-CVCET,0-1 year,Month-to-month,Mailed check,45.65,182.6,1,High Risk,Low Value,New (0-1y)
0214-JHPFW,4+ years,Two year,Bank transfer (automatic),57.8,4046,0,Low Risk,High Value,Loyal (4y+)
5642-MHDQT,4+ years,One year,Bank transfer (automatic),19.85,1052.05,0,Low Risk,Mid Value,Loyal (4y+)
3088-FVYWK,4+ years,Two year,Credit card (automatic),25.55,1354.15,0,Low Risk,Mid Value,Loyal (4y+)
3276-HDUEG,0-1 year,Month-to-month,Mailed check,75.05,75.05,1,High Risk,Low Value,New (0-1y)
9092-GDZKO,1-2 years,Month-to-month,Credit card (automatic),24.85,546.7,0,Low Risk,Low Value,Growing (1-2y)
0823-HSCDJ,4+ years,Month-to-month,Electronic check,49.15,2555.8,1,High Risk,Mid Value,Loyal (4y+)
3729-OWRVL,4+ years,Two year,Electronic check,110.35,7172.75,0,Low Risk,High Value,Loyal (4y+)
2324-AALNO,2-4 years,One year,Bank transfer (automatic),24.55,1178.4,0,Low Risk,Mid Value,Mature (2-4y)
0822-GAVAP,0-1 year,Month-to-month,Electronic check,34.7,69.4,1,High Risk,Low Value,New (0-1y)
5760-IFJOZ,0-1 year,Month-to-month,Mailed check,107.95,323.85,0,Low Risk,Low Value,New (0-1y)
2826-UWHIS,2-4 years,Month-to-month,Bank transfer (automatic),81.4,3663,0,Low Risk,High Value,Mature (2-4y)
1448-PWKYE,0-1 year,Month-to-month,Electronic check,80,80,1,High Risk,Low Value,New (0-1y)
7501-IWUNG,4+ years,Two year,Bank transfer (automatic),73.8,4501.8,0,Low Risk,High Value,Loyal (4y+)
4957-TREIR,0-1 year,Month-to-month,Credit card (automatic),64.4,193.2,0,Low Risk,Low Value,New (0-1y)
7251-LJBQN,2-4 years,One year,Credit card (automatic),103.75,4150,0,Low Risk,High Value,Mature (2-4y)
8040-MNRTF,0-1 year,Month-to-month,Mailed check,71.1,71.1,0,Low Risk,Low Value,New (0-1y)
1536-HBSWP,0-1 year,Month-to-month,Electronic check,49.9,49.9,0,Low Risk,Low Value,New (0-1y)
5313-FPXWG,4+ years,One year,Bank transfer (automatic),24.6,1254.6,0,Low Risk,Mid Value,Loyal (4y+)
0067-DKWBL,0-1 year,Month-to-month,Electronic check,49.25,98.5,1,High Risk,Low Value,New (0-1y)
0946-FKYTX,4+ years,One year,Mailed check,30.1,1565.2,0,Low Risk,Mid Value,Loyal (4y+)
5076-YVXCM,4+ years,Month-to-month,Bank transfer (automatic),83.4,4253.4,0,Low Risk,High Value,Loyal (4y+)
8262-COGGB,0-1 year,Month-to-month,Mailed check,20.45,20.45,0,Low Risk,Low Value,New (0-1y)
6663-JOCQO,2-4 years,One year,Bank transfer (automatic),75.25,2332.75,0,Low Risk,Mid Value,Mature (2-4y)
9620-QJREV,2-4 years,One year,Credit card (automatic),20.55,965.85,0,Low Risk,Low Value,Mature (2-4y)
2276-YDAVZ,0-1 year,Month-to-month,Credit card (automatic),75.1,225.3,1,High Risk,Low Value,New (0-1y)
2682-KEVRP,1-2 years,One year,Mailed check,20.05,441.1,0,Low Risk,Low Value,Growing (1-2y)
2480-JZOSN,0-1 year,Month-to-month,Mailed check,20.65,20.65,0,Low Risk,Low Value,New (0-1y)
0078-XZMHT,4+ years,Two year,Bank transfer (automatic),85.15,6130.8,0,Low Risk,High Value,Loyal (4y+)
5896-NPFWW,0-1 year,Month-to-month,Electronic check,50.15,150.45,1,High Risk,Low Value,New (0-1y)
9978-HYCIN,2-4 years,One year,Bank transfer (automatic),84.95,3992.65,0,Low Risk,High Value,Mature (2-4y)
8338-QIUNR,4+ years,Two year,Credit card (automatic),66.5,4788,0,Low Risk,High Value,Loyal (4y+)
1525-LNLOJ,4+ years,Two year,Bank transfer (automatic),63.3,4177.8,0,Low Risk,High Value,Loyal (4y+)
9450-TRJUU,2-4 years,Month-to-month,Electronic check,83.15,2910.25,0,Low Risk,Mid Value,Mature (2-4y)
1766-GKNMI,2-4 years,Month-to-month,Electronic check,84.9,2462.1,0,Low Risk,Mid Value,Mature (2-4y)
6942-LBFDP,0-1 year,Month-to-month,Mailed check,20.55,41.1,0,Low Risk,Low Value,New (0-1y)
1456-TWCGB,0-1 year,Month-to-month,Mailed check,49.25,197,0,Low Risk,Low Value,New (0-1y)
7133-VBDCG,2-4 years,Month-to-month,Bank transfer (automatic),79.85,1996.25,1,High Risk,Mid Value,Mature (2-4y)
7596-ZYWBB,4+ years,Two year,Mailed check,59.6,3874,0,Low Risk,High Value,Loyal (4y+)
8329-UTMVM,2-4 years,One year,Bank transfer (automatic),104.65,2825.55,0,Low Risk,Mid Value,Mature (2-4y)
3014-WJKSM,2-4 years,Month-to-month,Credit card (automatic),75.3,2183.7,0,Low Risk,Mid Value,Mature (2-4y)
3347-YJZZE,2-4 years,Month-to-month,Credit card (automatic),80.1,2322.9,0,Low Risk,Mid Value,Mature (2-4y)
1029-QFBEN,0-1 year,Month-to-month,Mailed check,19.55,19.55,1,High Risk,Low Value,New (0-1y)
7929-DMBCV,1-2 years,Month-to-month,Mailed check,81,1620,0,Low Risk,Mid Value,Growing (1-2y)
9661-JALZV,4+ years,Two year,Credit card (automatic),24.7,1432.6,0,Low Risk,Mid Value,Loyal (4y+)
5433-KYGHE,1-2 years,Month-to-month,Mailed check,86,1204,0,Low Risk,Mid Value,Growing (1-2y)
4312-KFRXN,4+ years,Two year,Mailed check,25.4,1828.8,0,Low Risk,Mid Value,Loyal (4y+)
5575-TPIZQ,2-4 years,Month-to-month,Credit card (automatic),89.15,4100.9,0,Low Risk,High Value,Mature (2-4y)
0114-IGABW,4+ years,Two year,Bank transfer (automatic),58.25,4135.75,0,Low Risk,High Value,Loyal (4y+)
9944-AEXBM,2-4 years,Month-to-month,Bank transfer (automatic),85.65,2740.8,0,Low Risk,Mid Value,Mature (2-4y)
1853-ARAAQ,2-4 years,Month-to-month,Credit card (automatic),50.35,1309.1,0,Low Risk,Mid Value,Mature (2-4y)
6952-OMNWB,4+ years,Month-to-month,Credit card (automatic),80.35,5463.8,0,Low Risk,High Value,Loyal (4y+)
4697-LUPSU,0-1 year,One year,Mailed check,20.2,40.4,0,Low Risk,Low Value,New (0-1y)
8434-VGEQQ,4+ years,Two year,Credit card (automatic),20.55,1253.55,0,Low Risk,Mid Value,Loyal (4y+)
4952-YSOGZ,0-1 year,Month-to-month,Electronic check,85.95,343.8,1,High Risk,Low Value,New (0-1y)
1589-AGTLK,0-1 year,Month-to-month,Electronic check,45.35,136.05,1,High Risk,Low Value,New (0-1y)
5244-IRFIH,2-4 years,Month-to-month,Electronic check,94.5,3118.5,1,High Risk,High Value,Mature (2-4y)
6549-YMFAW,0-1 year,Month-to-month,Mailed check,21.25,191.25,0,Low Risk,Low Value,New (0-1y)
4950-HKQTE,1-2 years,Two year,Mailed check,26.25,577.5,0,Low Risk,Low Value,Growing (1-2y)
6786-OBWQR,0-1 year,Month-to-month,Electronic check,80.85,404.25,0,Low Risk,Low Value,New (0-1y)
2684-EIWEO,2-4 years,Month-to-month,Credit card (automatic),91.7,2751,1,High Risk,Mid Value,Mature (2-4y)
2753-JMMCV,4+ years,Two year,Credit card (automatic),74.2,4823,0,Low Risk,High Value,Loyal (4y+)
6439-GTPCA,2-4 years,Month-to-month,Electronic check,87.25,3926.25,1,High Risk,High Value,Mature (2-4y)
6621-YOBKI,0-1 year,Month-to-month,Mailed check,20.35,101.75,0,Low Risk,Low Value,New (0-1y)
1216-JWVUX,2-4 years,Month-to-month,Electronic check,75.5,1887.5,0,Low Risk,Mid Value,Mature (2-4y)
7564-GHCVB,4+ years,Two year,Bank transfer (automatic),79.05,5691.6,0,Low Risk,High Value,Loyal (4y+)
1173-NOEYG,2-4 years,Month-to-month,Bank transfer (automatic),90.15,2434.05,0,Low Risk,Mid Value,Mature (2-4y)
7595-EHCDL,2-4 years,Month-to-month,Credit card (automatic),50.6,1619.2,0,Low Risk,Mid Value,Mature (2-4y)
6647-ZEDXT,2-4 years,One year,Credit card (automatic),110.45,3313.5,0,Low Risk,High Value,Mature (2-4y)
2521-NPUZR,4+ years,Two year,Credit card (automatic),101,7070,0,Low Risk,High Value,Loyal (4y+)
1307-TVUFB,2-4 years,Month-to-month,Bank transfer (automatic),79.35,3332.7,0,Low Risk,High Value,Mature (2-4y)
7503-MIOGA,4+ years,Two year,Bank transfer (automatic),89.85,6469.2,0,Low Risk,High Value,Loyal (4y+)
4381-MHQDC,2-4 years,Two year,Mailed check,65,3055,0,Low Risk,High Value,Mature (2-4y)
6923-JHPMP,0-1 year,Month-to-month,Electronic check,80.45,160.9,0,Low Risk,Low Value,New (0-1y)
5138-WVKYJ,0-1 year,Month-to-month,Electronic check,98.55,985.5,1,High Risk,Low Value,New (0-1y)
4018-PPNDW,4+ years,Two year,Mailed check,24.1,1470.1,0,Low Risk,Mid Value,Loyal (4y+)
1635-FJFCC,0-1 year,Month-to-month,Credit card (automatic),44.05,220.25,0,Low Risk,Low Value,New (0-1y)
2499-AJYUA,4+ years,Two year,Credit card (automatic),110.8,7977.6,0,Low Risk,High Value,Loyal (4y+)
6919-ELBGL,4+ years,Two year,Bank transfer (automatic),114.95,8276.4,0,Low Risk,High Value,Loyal (4y+)
3966-HRMZA,0-1 year,Month-to-month,Mailed check,75.05,225.15,0,Low Risk,Low Value,New (0-1y)
6425-JWTDV,2-4 years,Two year,Mailed check,19.25,924,0,Low Risk,Low Value,Mature (2-4y)
8405-IGQFX,4+ years,One year,Credit card (automatic),90.05,5673.15,0,Low Risk,High Value,Loyal (4y+)
8224-IVVPA,2-4 years,Month-to-month,Mailed check,56.7,1530.9,0,Low Risk,Mid Value,Mature (2-4y)
9477-LGWQI,4+ years,Two year,Credit card (automatic),80.15,5610.5,0,Low Risk,High Value,Loyal (4y+)
1410-RSCMR,0-1 year,Month-to-month,Credit card (automatic),71.35,499.45,0,Low Risk,Low Value,New (0-1y)
3115-CZMZD,NULL,Two year,Mailed check,20.25,0,0,Low Risk,Low Value,New (0-1y)
0139-IVFJG,0-1 year,Month-to-month,Electronic check,90.35,180.7,0,Low Risk,Low Value,New (0-1y)
6683-VLCTZ,1-2 years,Month-to-month,Electronic check,98.55,1971,1,High Risk,Mid Value,Growing (1-2y)
5730-DBDSI,4+ years,Two year,Bank transfer (automatic),19.7,1300.2,0,Low Risk,Mid Value,Loyal (4y+)
0030-FNXPP,0-1 year,Month-to-month,Mailed check,19.85,59.55,0,Low Risk,Low Value,New (0-1y)
2189-WWOEW,1-2 years,Month-to-month,Bank transfer (automatic),85.9,1288.5,1,High Risk,Mid Value,Growing (1-2y)
5684-FJVYR,4+ years,Two year,Bank transfer (automatic),90.35,6505.2,0,Low Risk,High Value,Loyal (4y+)
4013-GUXND,0-1 year,Month-to-month,Mailed check,20.8,20.8,0,Low Risk,Low Value,New (0-1y)
1894-IGFSG,1-2 years,Month-to-month,Electronic check,89.25,1963.5,1,High Risk,Mid Value,Growing (1-2y)
7379-POKDZ,0-1 year,Month-to-month,Electronic check,70.3,210.9,1,High Risk,Low Value,New (0-1y)
1266-NZYUI,4+ years,Two year,Bank transfer (automatic),66.85,4813.2,0,Low Risk,High Value,Loyal (4y+)
7969-FFOWG,4+ years,Two year,Mailed check,19.9,1293.5,0,Low Risk,Mid Value,Loyal (4y+)
4718-DHSMV,0-1 year,Month-to-month,Mailed check,35.8,393.8,0,Low Risk,Low Value,New (0-1y)
5175-WLYXL,1-2 years,Month-to-month,Mailed check,78.85,1734.7,0,Low Risk,Mid Value,Growing (1-2y)
7817-OMJNA,1-2 years,One year,Bank transfer (automatic),20.4,285.6,0,Low Risk,Low Value,Growing (1-2y)
8728-SKJLR,2-4 years,Month-to-month,Electronic check,74.25,3044.25,0,Low Risk,High Value,Mature (2-4y)
3137-NYQQI,1-2 years,One year,Mailed check,64.8,1101.6,0,Low Risk,Mid Value,Growing (1-2y)
7706-DZNKK,0-1 year,Month-to-month,Credit card (automatic),20.45,224.95,0,Low Risk,Low Value,New (0-1y)
0236-HFWSV,1-2 years,Month-to-month,Electronic check,93.35,1400.25,1,High Risk,Mid Value,Growing (1-2y)
3900-AQPHZ,0-1 year,Month-to-month,Mailed check,19.9,19.9,1,High Risk,Low Value,New (0-1y)
5842-POCOP,0-1 year,Month-to-month,Mailed check,88.9,444.5,1,High Risk,Low Value,New (0-1y)
2037-XJFUP,2-4 years,One year,Electronic check,95.8,3161.4,1,High Risk,High Value,Mature (2-4y)
8823-RLPWL,4+ years,Two year,Credit card (automatic),110.65,7966.8,0,Low Risk,High Value,Loyal (4y+)
9505-SQFSW,0-1 year,Month-to-month,Mailed check,40.3,120.9,0,Low Risk,Low Value,New (0-1y)
7314-OXENN,0-1 year,Month-to-month,Electronic check,82,164,1,High Risk,Low Value,New (0-1y)
3758-CKOQL,4+ years,One year,Credit card (automatic),107,6313,0,Low Risk,High Value,Loyal (4y+)
0322-CHQRU,0-1 year,Month-to-month,Electronic check,45.35,90.7,1,High Risk,Low Value,New (0-1y)
5676-CFLYY,4+ years,Two year,Credit card (automatic),73.35,5207.85,0,Low Risk,High Value,Loyal (4y+)
7521-AFHAB,0-1 year,Month-to-month,Mailed check,44.8,224,0,Low Risk,Low Value,New (0-1y)
0285-INHLN,2-4 years,Month-to-month,Credit card (automatic),54.75,1478.25,0,Low Risk,Mid Value,Mature (2-4y)
4678-DVQEO,0-1 year,Month-to-month,Electronic check,52.2,52.2,1,High Risk,Low Value,New (0-1y)
5125-CNDSP,4+ years,One year,Bank transfer (automatic),40.6,2557.8,0,Low Risk,Mid Value,Loyal (4y+)
0691-IFBQW,2-4 years,One year,Electronic check,110,5060,1,High Risk,High Value,Mature (2-4y)
4992-LTJNE,4+ years,Two year,Bank transfer (automatic),55.3,3981.6,0,Low Risk,High Value,Loyal (4y+)
2202-OUTMO,2-4 years,Month-to-month,Bank transfer (automatic),60.85,2068.9,0,Low Risk,Mid Value,Mature (2-4y)
0810-BDHAW,1-2 years,One year,Electronic check,78.4,1881.6,0,Low Risk,Mid Value,Growing (1-2y)
0229-LFJAF,4+ years,Two year,Bank transfer (automatic),69.65,5014.8,0,Low Risk,High Value,Loyal (4y+)
7131-ZQZNK,4+ years,Two year,Credit card (automatic),59.85,3591,0,Low Risk,High Value,Loyal (4y+)
3442-ZHHCC,4+ years,One year,Credit card (automatic),76.9,5229.2,0,Low Risk,High Value,Loyal (4y+)
5726-CVNYA,0-1 year,Two year,Mailed check,19.85,158.8,0,Low Risk,Low Value,New (0-1y)
9871-ELEYA,2-4 years,Two year,Credit card (automatic),67.65,2300.1,0,Low Risk,Mid Value,Mature (2-4y)
4257-GAESD,0-1 year,Month-to-month,Credit card (automatic),45,270,0,Low Risk,Low Value,New (0-1y)
5173-WXOQV,0-1 year,Month-to-month,Mailed check,64.2,128.4,0,Low Risk,Low Value,New (0-1y)
2040-OBMLJ,2-4 years,One year,Credit card (automatic),81.7,2532.7,0,Low Risk,Mid Value,Mature (2-4y)
6286-ZHAOK,1-2 years,Month-to-month,Bank transfer (automatic),25.55,511,0,Low Risk,Low Value,Growing (1-2y)
3807-XHCJH,0-1 year,Month-to-month,Electronic check,20,20,0,Low Risk,Low Value,New (0-1y)
3009-JWMPU,4+ years,One year,Electronic check,96.75,5998.5,1,High Risk,High Value,Loyal (4y+)
5671-RQRLP,4+ years,Two year,Credit card (automatic),75.65,5295.5,0,Low Risk,High Value,Loyal (4y+)
1450-GALXR,0-1 year,Month-to-month,Electronic check,98.5,985,1,High Risk,Low Value,New (0-1y)
8859-AXJZP,2-4 years,Two year,Mailed check,23.8,928.2,0,Low Risk,Low Value,Mature (2-4y)
3174-AKMAS,2-4 years,Two year,Credit card (automatic),64.2,2953.2,0,Low Risk,Mid Value,Mature (2-4y)
3138-BKYAV,0-1 year,Month-to-month,Electronic check,85.35,512.1,1,High Risk,Low Value,New (0-1y)
9926-PJHDQ,4+ years,Two year,Bank transfer (automatic),76.8,5529.6,0,Low Risk,High Value,Loyal (4y+)
7382-DFJTU,1-2 years,Month-to-month,Credit card (automatic),55.2,993.6,0,Low Risk,Low Value,Growing (1-2y)
2798-NYLMZ,4+ years,Two year,Credit card (automatic),108.55,7707.05,0,Low Risk,High Value,Loyal (4y+)
4289-DTDKW,2-4 years,Month-to-month,Electronic check,101.3,4052,1,High Risk,High Value,Mature (2-4y)
1820-TQVEV,0-1 year,Month-to-month,Electronic check,69.55,69.55,1,High Risk,Low Value,New (0-1y)
2239-JALAW,4+ years,One year,Bank transfer (automatic),103.25,5988.5,1,High Risk,High Value,Loyal (4y+)
4853-RULSV,4+ years,Two year,Credit card (automatic),104,7280,1,High Risk,High Value,Loyal (4y+)
8098-TDCBU,2-4 years,Two year,Electronic check,25.25,1060.5,0,Low Risk,Mid Value,Mature (2-4y)
3551-GAEGL,2-4 years,One year,Bank transfer (automatic),30.4,1033.6,0,Low Risk,Mid Value,Mature (2-4y)
4785-NKHCX,0-1 year,Month-to-month,Bank transfer (automatic),20.05,100.25,0,Low Risk,Low Value,New (0-1y)
3196-NVXLZ,2-4 years,Month-to-month,Mailed check,84.6,2115,0,Low Risk,Mid Value,Mature (2-4y)
6275-YDUVO,0-1 year,Month-to-month,Mailed check,86.2,172.4,1,High Risk,Low Value,New (0-1y)
0036-IHMOT,4+ years,One year,Bank transfer (automatic),103.7,5703.5,0,Low Risk,High Value,Loyal (4y+)
0115-TFERT,1-2 years,Month-to-month,Electronic check,111.2,2335.2,1,High Risk,Mid Value,Growing (1-2y)
4178-EGMON,4+ years,Two year,Credit card (automatic),88,6160,0,Low Risk,High Value,Loyal (4y+)
4220-TINQT,4+ years,Month-to-month,Electronic check,106.35,6487.35,0,Low Risk,High Value,Loyal (4y+)
5318-YKDPV,2-4 years,Two year,Credit card (automatic),79.15,3403.45,0,Low Risk,High Value,Mature (2-4y)
7975-TZMLR,2-4 years,One year,Electronic check,103.1,4845.7,0,Low Risk,High Value,Mature (2-4y)
0295-QVKPB,0-1 year,Month-to-month,Credit card (automatic),63.95,319.75,0,Low Risk,Low Value,New (0-1y)
4335-BSMJS,4+ years,Two year,Credit card (automatic),25.8,1599.6,0,Low Risk,Mid Value,Loyal (4y+)
2311-QYMUQ,1-2 years,Month-to-month,Credit card (automatic),89.45,1431.2,1,High Risk,Mid Value,Growing (1-2y)
3643-AHCFP,0-1 year,Month-to-month,Bank transfer (automatic),95.6,669.2,1,High Risk,Low Value,New (0-1y)
9146-JRIOX,1-2 years,Month-to-month,Mailed check,25.55,357.7,0,Low Risk,Low Value,Growing (1-2y)
3104-OWCGK,4+ years,One year,Electronic check,90.95,5457,1,High Risk,High Value,Loyal (4y+)
5337-IIWKZ,2-4 years,Month-to-month,Electronic check,44.85,1524.9,0,Low Risk,Mid Value,Mature (2-4y)
9101-BWFSS,4+ years,One year,Electronic check,108.55,5427.5,1,High Risk,High Value,Loyal (4y+)
9650-VBUOG,2-4 years,Two year,Credit card (automatic),25.05,951.9,0,Low Risk,Low Value,Mature (2-4y)
3487-EARAT,4+ years,One year,Credit card (automatic),74.1,5187,0,Low Risk,High Value,Loyal (4y+)
2672-TGEFF,2-4 years,Month-to-month,Electronic check,88.8,3285.6,0,Low Risk,High Value,Mature (2-4y)
9231-ZJYAM,0-1 year,Month-to-month,Electronic check,78.85,315.4,1,High Risk,Low Value,New (0-1y)
4250-WAROZ,4+ years,Month-to-month,Electronic check,93.25,5595,0,Low Risk,High Value,Loyal (4y+)
8184-WMOFI,4+ years,One year,Credit card (automatic),71.4,4426.8,0,Low Risk,High Value,Loyal (4y+)
6982-SSHFK,0-1 year,Month-to-month,Mailed check,44.4,44.4,1,High Risk,Low Value,New (0-1y)
6092-QZVPP,2-4 years,Month-to-month,Credit card (automatic),79.2,2851.2,0,Low Risk,Mid Value,Mature (2-4y)
4625-LAMOB,2-4 years,Two year,Credit card (automatic),20.4,897.6,0,Low Risk,Low Value,Mature (2-4y)
0727-BMPLR,4+ years,One year,Electronic check,100,5500,1,High Risk,High Value,Loyal (4y+)
0392-BZIUW,4+ years,Two year,Credit card (automatic),105,7560,0,Low Risk,High Value,Loyal (4y+)
1038-ZAGBI,0-1 year,One year,Bank transfer (automatic),19.8,237.6,1,High Risk,Low Value,New (0-1y)
6549-NNDYT,1-2 years,Month-to-month,Bank transfer (automatic),30.85,401.05,0,Low Risk,Low Value,Growing (1-2y)
3027-ZTDHO,0-1 year,Month-to-month,Electronic check,89.9,89.9,1,High Risk,Low Value,New (0-1y)
0422-OHQHQ,1-2 years,One year,Mailed check,20.55,308.25,0,Low Risk,Low Value,Growing (1-2y)
6916-HIJSE,4+ years,Two year,Bank transfer (automatic),84.85,5515.25,0,Low Risk,High Value,Loyal (4y+)
2316-ESMLS,0-1 year,One year,Credit card (automatic),33.15,397.8,0,Low Risk,Low Value,New (0-1y)
9778-OGKQZ,4+ years,Two year,Credit card (automatic),92,6624,0,Low Risk,High Value,Loyal (4y+)
7408-OFWXJ,4+ years,Two year,Credit card (automatic),89.8,6465.6,0,Low Risk,High Value,Loyal (4y+)
6007-TCTST,4+ years,Two year,Bank transfer (automatic),115.8,8337.6,0,Low Risk,High Value,Loyal (4y+)
2252-NKNSI,4+ years,Two year,Mailed check,85.15,4427.8,0,Low Risk,High Value,Loyal (4y+)
8713-IGZSO,0-1 year,Month-to-month,Mailed check,24.85,49.7,0,Low Risk,Low Value,New (0-1y)
7905-TVXTA,0-1 year,Month-to-month,Electronic check,64.35,321.75,0,Low Risk,Low Value,New (0-1y)
7695-PKLCZ,4+ years,Two year,Credit card (automatic),20.5,1394,0,Low Risk,Mid Value,Loyal (4y+)
2382-BCKQJ,4+ years,One year,Electronic check,100.15,6209.3,1,High Risk,High Value,Loyal (4y+)
8374-UULRV,4+ years,Two year,Credit card (automatic),86.05,6195.6,0,Low Risk,High Value,Loyal (4y+)
2207-NHRJK,0-1 year,Month-to-month,Electronic check,50.8,50.8,1,High Risk,Low Value,New (0-1y)
3224-DFQNQ,4+ years,One year,Electronic check,89,5874,0,Low Risk,High Value,Loyal (4y+)
5275-PMFUT,4+ years,Two year,Credit card (automatic),64.8,4665.6,0,Low Risk,High Value,Loyal (4y+)
4795-UXVCJ,2-4 years,One year,Credit card (automatic),19.8,514.8,0,Low Risk,Low Value,Mature (2-4y)
9777-IQHWP,4+ years,Two year,Bank transfer (automatic),93.4,5977.6,0,Low Risk,High Value,Loyal (4y+)
0947-MUGVO,1-2 years,Month-to-month,Electronic check,73.65,1473,1,High Risk,Mid Value,Growing (1-2y)
9944-HKVVB,0-1 year,Month-to-month,Electronic check,95.1,285.3,1,High Risk,Low Value,New (0-1y)
4124-MMETB,1-2 years,Month-to-month,Credit card (automatic),94.65,2082.3,1,High Risk,Mid Value,Growing (1-2y)
3671-SHRSP,0-1 year,Month-to-month,Mailed check,80.6,322.4,1,High Risk,Low Value,New (0-1y)
0979-MOZQI,4+ years,Two year,Bank transfer (automatic),39,2418,0,Low Risk,Mid Value,Loyal (4y+)
2732-ISEZX,0-1 year,Month-to-month,Mailed check,20.5,102.5,0,Low Risk,Low Value,New (0-1y)
3313-QKNKB,4+ years,One year,Electronic check,85.55,5047.45,1,High Risk,High Value,Loyal (4y+)
0323-XWWTN,0-1 year,Two year,Mailed check,26.4,79.2,0,Low Risk,Low Value,New (0-1y)
1937-OTUKY,4+ years,Two year,Bank transfer (automatic),98.2,7070.4,0,Low Risk,High Value,Loyal (4y+)
1573-LGXBA,4+ years,One year,Credit card (automatic),97.55,5560.35,0,Low Risk,High Value,Loyal (4y+)
1764-VUUMT,4+ years,Two year,Credit card (automatic),19.95,1316.7,0,Low Risk,Mid Value,Loyal (4y+)
5073-WXOYN,4+ years,Month-to-month,Electronic check,50.8,3048,1,High Risk,High Value,Loyal (4y+)
4713-ZBURT,2-4 years,Two year,Bank transfer (automatic),99.7,4486.5,0,Low Risk,High Value,Mature (2-4y)
3050-GBUSH,0-1 year,Month-to-month,Credit card (automatic),34.8,104.4,0,Low Risk,Low Value,New (0-1y)
0207-MDKNV,1-2 years,Month-to-month,Electronic check,105.1,1576.5,1,High Risk,Mid Value,Growing (1-2y)
7876-AEHIG,4+ years,One year,Bank transfer (automatic),60.15,3067.65,0,Low Risk,High Value,Loyal (4y+)
7945-HLKEA,4+ years,One year,Electronic check,64.75,3885,0,Low Risk,High Value,Loyal (4y+)
9342-VNIMQ,2-4 years,Month-to-month,Bank transfer (automatic),54.65,1803.45,0,Low Risk,Mid Value,Mature (2-4y)
9851-KIELU,0-1 year,Month-to-month,Electronic check,110.1,1101,1,High Risk,Mid Value,New (0-1y)
3523-BRGUW,2-4 years,One year,Credit card (automatic),19.3,501.8,0,Low Risk,Low Value,Mature (2-4y)
3908-BLSYF,0-1 year,Month-to-month,Electronic check,83.9,503.4,1,High Risk,Low Value,New (0-1y)
3199-NPKCN,4+ years,One year,Electronic check,111.25,7453.75,0,Low Risk,High Value,Loyal (4y+)
5170-PTRKA,4+ years,One year,Credit card (automatic),35.8,1754.2,0,Low Risk,Mid Value,Loyal (4y+)
4661-NJEUX,0-1 year,Month-to-month,Mailed check,20.05,20.05,0,Low Risk,Low Value,New (0-1y)
2123-AGEEN,0-1 year,Month-to-month,Electronic check,84.35,590.45,0,Low Risk,Low Value,New (0-1y)
1258-YMZNM,2-4 years,One year,Bank transfer (automatic),110.5,2983.5,0,Low Risk,Mid Value,Mature (2-4y)
0048-LUMLS,2-4 years,One year,Credit card (automatic),91.2,3374.4,0,Low Risk,High Value,Mature (2-4y)
7549-MYGPK,4+ years,Month-to-month,Electronic check,100.55,6334.65,1,High Risk,High Value,Loyal (4y+)
5898-IGSLP,2-4 years,Month-to-month,Electronic check,89.3,2768.3,0,Low Risk,Mid Value,Mature (2-4y)
3804-RVTGV,4+ years,Month-to-month,Bank transfer (automatic),103.85,5192.5,1,High Risk,High Value,Loyal (4y+)
6259-WJQLC,2-4 years,Month-to-month,Credit card (automatic),81.1,2595.2,0,Low Risk,Mid Value,Mature (2-4y)
9227-LUNBG,0-1 year,Month-to-month,Electronic check,24.6,24.6,1,High Risk,Low Value,New (0-1y)
7997-EASSD,4+ years,One year,Credit card (automatic),81.2,5115.6,0,Low Risk,High Value,Loyal (4y+)
0730-KOAVE,2-4 years,Month-to-month,Credit card (automatic),94.3,2829,0,Low Risk,Mid Value,Mature (2-4y)
8975-SKGRX,4+ years,Two year,Bank transfer (automatic),116.1,8243.1,0,Low Risk,High Value,Loyal (4y+)
0678-RLHVP,4+ years,Two year,Electronic check,105.55,5594.15,0,Low Risk,High Value,Loyal (4y+)
4315-MURBD,0-1 year,Month-to-month,Bank transfer (automatic),98.9,1186.8,1,High Risk,Mid Value,New (0-1y)
